handle,followerCount
"paul9876.bsky.social",34248
"iamfreetobeme.bsky.social",34178
"cat736.bsky.social",34092
"valmasdel.bsky.social",34017
"countmyvote.bsky.social",33968
"serrata.org",33957
"edwardarowe1.bsky.social",33916
"mommytlc.bsky.social",33912
"climatenews.bsky.social",33849
"grouchymarx57.bsky.social",33768
"politicalodor.substack.com",33754
"himself.bsky.social",33744
"bigdgrandroyal.bsky.social",33674
"blueaxeman.bsky.social",33664
"gottalaff.bsky.social",33636
"iranzye.bsky.social",33628
"charlesconway.creator.blue",33574
"brunojnavarro.bsky.social",33556
"courageousgirl2.bsky.social",33532
"electronicgogo.bsky.social",33489
"kenkirk.bsky.social",33486
"susanpatrick1.bsky.social",33460
"roddsdad.bsky.social",33378
"cara.city",33260
"valeriefrankel.bsky.social",33256
"alanbeattie.bsky.social",33234
"rsoogood.bsky.social",33201
"callumlaing.bsky.social",33131
"jenexpresses.bsky.social",33106
"yarabean.bsky.social",33102
"drsimevans.carbonbrief.org",33100
"jagsman.bsky.social",33083
"bilgem2000.bsky.social",33077
"niggi.bsky.social",33022
"monhegan.bsky.social",33004
"misskris6.bsky.social",32995
"healthcare-global.bsky.social",32987
"rideyr.bsky.social",32972
"cherrycreme.bsky.social",32944
"yllekonadnerb.bsky.social",32903
"ciarocci.bsky.social",32769
"anotherpoint.bsky.social",32754
"louiseqv.bsky.social",32718
"fa24fo25.bsky.social",32694
"bsky.art",32662
"gigi2009.bsky.social",32652
"peoplepowerunited.bsky.social",32618
"alliegata.bsky.social",32541
"bubbaj64.bsky.social",32507
"todders707.bsky.social",32469
"dancinginthestreet.bsky.social",32438
"serkay23.bsky.social",32422
"machalikwi.bsky.social",32405
"oalexanderdk.bsky.social",32377
"gilduran.com",32363
"finecuppacoffee.bsky.social",32279
"t0nyyates.bsky.social",32265
"aetiology.bsky.social",32191
"bozoeocaralho.bsky.social",32171
"canadahealthwatch.ca",32127
"octopuslawyer.bsky.social",32054
"dhwilkinson007.bsky.social",32015
"blackhalt.bsky.social",31924
"avalanchepass.bsky.social",31884
"digitalfoundry.bsky.social",31843
"dawnhinze.bsky.social",31801
"ultrasfcdk.bsky.social",31738
"ohasi.bsky.social",31662
"rtechgaming.bsky.social",31615
"jwacker1j.bsky.social",31582
"uh8.bsky.social",31582
"brianwernham.bsky.social",31527
"tracydeepbluesea44.bsky.social",31482
"jpe1974.bsky.social",31397
"hayao.lol",31374
"lexultimaveritas.bsky.social",31374
"tomseidel.com",31356
"davidrvetter.bsky.social",31346
"audiomite.bsky.social",31310
"democracymichelle.bsky.social",31304
"jenseesu2.bsky.social",31280
"spongebob104.bsky.social",31199
"potusbumblephuq.bsky.social",31055
"filmgirl.bsky.social",31019
"henrik270864.bsky.social",31012
"bluewavemaureen.bsky.social",31002
"nickienobody.bsky.social",30948
"lisapom.bsky.social",30927
"silenciodogwood.bsky.social",30899
"evanurquhart.bsky.social",30884
